,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
20,From a Place of Love,To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,182087,38,0.715,0.63,0.416,0.16,119.941,0.408
21,Lily,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,190909,37,0.978,0.2,0.0257,0.0972,88.677,0.0346
22,A Turtle's Heart - Key Ingredient ver.,Key Ingredient,Mili,2022-06-03,174551,35,0.792,0.66,0.258,0.0638,147.903,0.586
23,Skin-Deep Comedy,Skin-Deep Comedy,Promise of wizard,2022-03-18,322414,35,0.0949,0.551,0.39,0.0797,103.955,0.304
24,Poems of a Machine,To Kill a Living Book -for Library Of Ruina-,Mili,2021-10-29,274084,37,0.268,0.584,0.554,0.115,129.947,0.245
25,A Nocturne for All,ENDER LILIES: Quietus of the Knights Original Soundtrack,Binary Haze Interactive,2021-06-22,167368,32,0.985,0.619,0.186,0.106,95.003,0.527
26,Victim,Victim,Mili,2019-01-24,231712,36,0.666,0.442,0.581,0.116,77.058,0.195
27,Bathtub Mermaid,Miracle Milk,Mili,2016-10-12,224022,36,0.83,0.653,0.216,0.12,117.028,0.287
28,Static,Static,Mili,2020-02-01,213111,36,0.735,0.315,0.396,0.194,101.64,0.29
29,Camelia,Millennium Mother,Mili,2018-04-25,279986,36,0.757,0.643,0.47,0.132,126.035,0.442
30,"Dandelion Girls, Dandelion Boys",Dandelions & Bento Boxes,Mili,2022-01-14,170963,33,0.344,0.473,0.59,0.134,166.102,0.343
31,Red Dahlia,Miracle Milk,Mili,2016-10-12,137546,34,0.816,0.487,0.259,0.131,107.899,0.314
32,Utopiosphere,Mag Mell,Mili,2014-09-24,132954,34,0.571,0.592,0.631,0.0858,88.031,0.506
33,Vitamins,Millennium Mother,Mili,2018-04-25,300386,35,0.365,0.674,0.652,0.11,95.517,0.586
34,Sloth,Sloth,Mili,2019-09-10,173348,33,0.362,0.765,0.39,0.112,115.997,0.448
35,Utopiosphere -Platonism-,Miracle Milk,Mili,2016-10-12,131207,34,0.836,0.457,0.298,0.0929,176.085,0.53
36,Mitsubachi,Mitsubachi,Mili,2019-10-04,178126,34,0.348,0.719,0.73,0.0852,147.911,0.464
37,Mirror Mirror,Millennium Mother,Mili,2018-04-25,194173,33,0.121,0.756,0.74,0.101,119.988,0.629
38,Cast Me a Spell,Cast Me a Spell,Promise of wizard,2020-02-21,140442,32,0.274,0.679,0.608,0.391,141.071,0.691
39,Though Our Paths May Diverge (Goblin Slayer Episode Seven inserted song),Rightfully (TV Animation Goblin Slayer opening),Mili,2018-12-05,198767,33,0.848,0.109,0.24,0.0907,166.383,0.0521
40,world.search (you) ;,Hue,Mili,2017-05-24,292484,36,0.0423,0.734,0.689,0.0764,138.917,0.935
41,雨と体液と匂い,雨と体液と匂い,Mili,2020-06-10,299000,34,0.204,0.689,0.488,0.103,127.977,0.3
42,Rubber Human - Key Ingredient ver.,Key Ingredient,Mili,2022-06-03,147573,31,0.879,0.846,0.333,0.0738,129.963,0.494
43,YUBIKIRI-GENMAN,Mag Mell,Mili,2014-09-24,235831,34,0.883,0.566,0.282,0.0672,73.001,0.396
44,With a Billion Worldful of <3,Millennium Mother,Mili,2018-04-25,205480,33,0.126,0.456,0.678,0.0812,150.217,0.323
45,My Creator,My Creator,Mili,2022-02-26,192640,32,0.556,0.259,0.485,0.176,81.162,0.227
46,TOKYO NEON - Key Ingredient ver.,Key Ingredient,Mili,2022-06-03,253024,30,0.819,0.491,0.285,0.0937,92.446,0.558
47,Flowerworks,Flowerworks,Promise of wizard,2021-08-24,225982,31,0.644,0.367,0.568,0.128,167.863,0.368
48,Mushrooms,Millennium Mother,Mili,2018-04-25,225053,33,0.17,0.573,0.601,0.0688,155.915,0.336
49,Nine Point Eight,Mag Mell,Mili,2014-09-24,190609,32,0.0725,0.429,0.704,0.125,82.025,0.554
